timepoint,Q.1,B,B.1,B.1.617.2,P.1.16,P.1,B.4,B.1.1.7,B.1.351,B.27,P.1.12,P.1.1,B.1.222,P.1.10,others,sample_name,tool_name
1,0.96,0.02,,,,,,0.02,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
16,0.97,0.02,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,0.97,0.02,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,0.96,0.02,0.01,,,,,,,,,,,,0.01,freyja_v1.4.3-46,freyja_v1.4.3
61,0.97,0.02,0.02,,,,,,,,,,,,0.0,freyja_v1.4.3-61,freyja_v1.4.3
77,0.95,0.03,,,,,,,,,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,0.81,0.02,,,,,,,0.17,,,,,,0.01,freyja_v1.4.3-92,freyja_v1.4.3
107,0.19,0.02,,,,,,,0.79,,,,,,0.0,freyja_v1.4.3-107,freyja_v1.4.3
122,,0.02,0.01,,,,,,0.96,,,,,,0.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,0.03,,,,,,,0.97,,,,,,0.0,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,,,,,0.98,0.02,,,,,0.0,freyja_v1.4.3-153,freyja_v1.4.3
168,,0.02,,,,,,,0.97,,,,,,0.01,freyja_v1.4.3-168,freyja_v1.4.3
183,,0.02,,,,,,,0.93,,0.04,,,,0.01,freyja_v1.4.3-183,freyja_v1.4.3
198,,0.02,,,,,,,0.49,,,,,0.48,0.0,freyja_v1.4.3-198,freyja_v1.4.3
213,,0.02,0.01,,0.91,0.01,,,0.04,,,,,,0.0,freyja_v1.4.3-213,freyja_v1.4.3
229,,0.03,,,0.97,,,,,,,,,,0.0,freyja_v1.4.3-229,freyja_v1.4.3
244,,0.02,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-244,freyja_v1.4.3
259,,0.02,,,,,,,,,0.97,,,,0.01,freyja_v1.4.3-259,freyja_v1.4.3
274,,0.02,0.01,,,,,,,,0.96,,,,0.0,freyja_v1.4.3-274,freyja_v1.4.3
289,,0.02,,0.09,,,,,,,,0.88,,,0.01,freyja_v1.4.3-289,freyja_v1.4.3
305,,0.01,,0.71,0.26,0.01,0.01,,,,,,,,0.0,freyja_v1.4.3-305,freyja_v1.4.3
320,,0.03,0.02,0.95,,,,,,,,,,,0.0,freyja_v1.4.3-320,freyja_v1.4.3
335,,0.02,,0.97,,,,,,,,,0.01,,0.0,freyja_v1.4.3-335,freyja_v1.4.3
350,,0.02,,0.97,,,,,,,,,,,0.01,freyja_v1.4.3-350,freyja_v1.4.3
366,,0.02,,0.97,,,,,,,,,,,0.0,freyja_v1.4.3-366,freyja_v1.4.3
