timepoint,XBB.1.4,B,B.1,XBB.1.9,XBB.1.16.26,XBB.1.16,XBB.2.3.3,XBB.2.3.11,XBB.2.3.10,XBB.2.3,XBB.1.5,FU.4,XBB.1.37,XBB.1.45,XBB.2.4,XBB.2.3.2,XBB.1.5.7,B.12,others,sample_name,tool_name
1,,0.02,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-1,freyja_v1.5.3
16,,0.02,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
31,,,,0.97,,,,,,,,,,,,,,0.02,0.01,freyja_v1.5.3-31,freyja_v1.5.3
46,,0.02,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-46,freyja_v1.5.3
61,,0.01,0.02,0.97,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-61,freyja_v1.5.3
77,,0.02,,0.96,,,,,,,,,,0.01,,,,,0.01,freyja_v1.5.3-77,freyja_v1.5.3
92,,0.02,,0.81,,,,,,,0.16,,,,,,,,0.01,freyja_v1.5.3-92,freyja_v1.5.3
107,,0.02,,0.19,,,,,,,0.78,,,,,,,,0.02,freyja_v1.5.3-107,freyja_v1.5.3
122,,0.03,,,,,,,,,0.97,,,,,,,,0.0,freyja_v1.5.3-122,freyja_v1.5.3
137,0.97,0.02,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-137,freyja_v1.5.3
153,,0.03,,,,,,,,,,,,,0.97,,,,0.0,freyja_v1.5.3-153,freyja_v1.5.3
168,,0.02,,,,,,,,,0.93,,0.02,0.02,,,,,0.0,freyja_v1.5.3-168,freyja_v1.5.3
183,,0.02,,,,,0.05,,,,0.92,,,,,,,,0.01,freyja_v1.5.3-183,freyja_v1.5.3
198,,0.02,0.01,,,,0.4,,,,,,,,0.44,0.07,0.05,,0.01,freyja_v1.5.3-198,freyja_v1.5.3
213,,0.01,,,,,0.93,,,,0.04,,,,,,,,0.02,freyja_v1.5.3-213,freyja_v1.5.3
229,,0.02,,,,,0.97,,,,,,,,,,,,0.01,freyja_v1.5.3-229,freyja_v1.5.3
244,,0.02,,,,,0.81,0.16,,,,,,,,,,,0.01,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,,,0.02,0.95,,,,,,,,,,0.03,freyja_v1.5.3-259,freyja_v1.5.3
274,,0.01,,,,,0.98,,,,,,,,,,,,0.01,freyja_v1.5.3-274,freyja_v1.5.3
289,,0.02,,,,0.09,0.84,0.03,,,,,,,,,,,0.02,freyja_v1.5.3-289,freyja_v1.5.3
305,,0.02,,,,0.71,,0.26,,,,,,,,,,,0.01,freyja_v1.5.3-305,freyja_v1.5.3
320,,0.02,,,0.48,0.48,,,,0.01,,,,,,,,,0.01,freyja_v1.5.3-320,freyja_v1.5.3
335,,0.03,,,,0.97,,,,,,,,,,,,,0.0,freyja_v1.5.3-335,freyja_v1.5.3
350,,0.01,,,0.49,0.49,,,,,,,,,,,,,0.01,freyja_v1.5.3-350,freyja_v1.5.3
366,,0.01,,,,0.95,,,,,,0.02,,,,,,,0.01,freyja_v1.5.3-366,freyja_v1.5.3
