timepoint,A.23.1,AV.1,B.1.1.7,B.1.1,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,C.37,P.3,others,sample_name,tool_name
1,,0.02,0.02,0.4,,,,0.01,,0.23,0.07,,0.2,,0.04,lcs_vcfc2f02-1,lcs_vcfc2f02
12,,0.18,,0.44,0.01,,,0.03,,0.01,,0.02,0.26,,0.05,lcs_vcfc2f02-12,lcs_vcfc2f02
14,,0.26,0.04,0.37,,0.01,0.02,0.04,,0.05,0.02,0.03,0.14,0.01,0.01,lcs_vcfc2f02-14,lcs_vcfc2f02
16,,0.07,,0.53,,,0.01,0.02,,0.04,,0.04,0.24,,0.04,lcs_vcfc2f02-16,lcs_vcfc2f02
18,,0.21,0.01,0.53,,,,0.02,0.02,0.03,,0.01,0.12,0.03,0.02,lcs_vcfc2f02-18,lcs_vcfc2f02
20,,0.14,0.03,0.4,,,,0.02,0.05,0.08,,0.05,0.2,0.02,0.01,lcs_vcfc2f02-20,lcs_vcfc2f02
23,,0.09,0.07,0.47,,0.01,,0.07,,0.07,,0.06,0.11,0.03,0.01,lcs_vcfc2f02-23,lcs_vcfc2f02
25,,0.16,0.01,0.36,,,,0.01,0.05,0.06,,0.03,0.25,0.04,0.02,lcs_vcfc2f02-25,lcs_vcfc2f02
27,,0.21,0.08,0.42,,,,,0.05,0.03,,,0.18,,0.03,lcs_vcfc2f02-27,lcs_vcfc2f02
29,,0.03,0.17,0.48,,,,,0.07,0.06,,,0.15,,0.03,lcs_vcfc2f02-29,lcs_vcfc2f02
3,,0.05,0.05,0.29,,0.02,0.05,0.02,0.02,0.35,,,0.11,0.02,0.03,lcs_vcfc2f02-3,lcs_vcfc2f02
31,,0.06,0.04,0.53,,,,,0.1,0.04,,,0.21,,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
34,,0.03,0.15,0.33,,,,,0.14,0.09,,,0.22,0.01,0.02,lcs_vcfc2f02-34,lcs_vcfc2f02
36,,0.08,0.13,0.61,,,,,0.02,0.06,,0.01,0.07,,0.02,lcs_vcfc2f02-36,lcs_vcfc2f02
38,,0.16,0.12,0.34,,,,0.01,0.08,0.06,,0.01,0.17,0.02,0.02,lcs_vcfc2f02-38,lcs_vcfc2f02
40,,0.06,0.07,0.46,,0.01,,0.03,,0.07,,,0.25,0.02,0.03,lcs_vcfc2f02-40,lcs_vcfc2f02
42,,0.16,0.07,0.29,,0.03,,,0.11,0.02,,,0.28,0.01,0.03,lcs_vcfc2f02-42,lcs_vcfc2f02
45,,0.13,0.09,0.38,,,,,0.15,0.02,,,0.19,,0.04,lcs_vcfc2f02-45,lcs_vcfc2f02
47,,0.15,0.07,0.43,,,,,0.1,0.06,,0.02,0.14,,0.03,lcs_vcfc2f02-47,lcs_vcfc2f02
49,,0.02,0.07,0.62,,,,,0.01,0.02,,0.01,0.2,0.01,0.02,lcs_vcfc2f02-49,lcs_vcfc2f02
5,,0.08,0.01,0.41,,0.02,0.03,0.02,,0.06,0.01,0.05,0.27,0.02,0.01,lcs_vcfc2f02-5,lcs_vcfc2f02
51,0.03,0.14,0.19,0.52,,,,,,0.02,,,0.04,0.02,0.03,lcs_vcfc2f02-51,lcs_vcfc2f02
7,,0.07,0.02,0.52,,0.05,0.02,,,,0.02,0.01,0.26,,0.03,lcs_vcfc2f02-7,lcs_vcfc2f02
9,,0.1,0.04,0.4,,,0.05,0.1,0.02,0.12,,0.02,0.11,0.01,0.03,lcs_vcfc2f02-9,lcs_vcfc2f02
