timepoint,XBB.1.9,B,B.1,XBB.1.16.1,B.11,XBB.2.4,XBB,XBB.2.3.3,XBB.2.3.11,XBB.1.5.43,XBB.1.18,XBB.1.16.3,XBB.2.3,XBB.1.37,XBB.2.3.4,XBB.2,XBB.1.5.24,B.1.182,XBB.2.3.10,XBB.1.5.47,others,sample_name,tool_name
1,0.97,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
16,0.97,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,0.97,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,0.97,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-46,freyja_v1.4.3
61,0.97,,,,0.02,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,0.96,0.02,,,,,0.01,,,,,,,,,,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,0.81,0.02,,,,,,,,0.13,,,,0.03,,,,,,,0.01,freyja_v1.4.3-92,freyja_v1.4.3
107,0.19,0.01,,,,,0.03,,,,,,,,,,0.75,0.01,,,0.01,freyja_v1.4.3-107,freyja_v1.4.3
122,,0.02,,,,,,,,0.96,0.02,,,,,,,,,,0.01,freyja_v1.4.3-122,freyja_v1.4.3
137,,0.02,,,,,,,,0.96,,,,,,,,,,,0.02,freyja_v1.4.3-137,freyja_v1.4.3
153,,0.02,0.01,,,0.95,0.02,,,,,,,,,,,,,,0.0,freyja_v1.4.3-153,freyja_v1.4.3
168,,0.02,,,,,,,,0.8,,,,,,,,,,0.17,0.01,freyja_v1.4.3-168,freyja_v1.4.3
183,,0.02,,,,,,0.04,,0.93,,,,,,,,,,,0.01,freyja_v1.4.3-183,freyja_v1.4.3
198,,0.03,,,,,,,,0.48,,,,,,,,,0.47,,0.02,freyja_v1.4.3-198,freyja_v1.4.3
213,,0.01,,,,,,0.91,,0.04,,,0.01,,,,,,,,0.02,freyja_v1.4.3-213,freyja_v1.4.3
229,,0.02,,,,,,0.95,0.02,,,,,,,,,,,,0.01,freyja_v1.4.3-229,freyja_v1.4.3
244,,0.01,,,,,,0.97,,,,,,,,,,,,,0.01,freyja_v1.4.3-244,freyja_v1.4.3
259,,0.02,,,,,,0.97,,,,,,,,,,,,,0.01,freyja_v1.4.3-259,freyja_v1.4.3
274,,0.03,,,,,,0.95,0.01,,,,0.01,,,,,,,,0.0,freyja_v1.4.3-274,freyja_v1.4.3
289,,0.02,,0.09,,,,,0.06,,,,,,0.81,0.02,,,,,0.01,freyja_v1.4.3-289,freyja_v1.4.3
305,,0.02,,,,,,0.25,,,,0.71,,,,,,,,,0.02,freyja_v1.4.3-305,freyja_v1.4.3
320,,0.03,,0.95,,,,,0.01,,,,,,,,,,,,0.01,freyja_v1.4.3-320,freyja_v1.4.3
335,,0.02,,,,,,,,,,0.97,,,,,,,,,0.01,freyja_v1.4.3-335,freyja_v1.4.3
350,,0.01,0.01,,,,,,,,,0.97,,,,,,,,,0.0,freyja_v1.4.3-350,freyja_v1.4.3
366,,0.01,,0.97,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-366,freyja_v1.4.3
