timepoint,XBB.1.16.3,B.11,XBB.1.16,B,B.1,XBB.2.3.3,XBB.1.5.43,XBB.2.3.11,B.47,XBB.2.3,XBB.1.5.24,XBB.1.37,XBB.1.9,XBB.1.16.1,XBB.1.9.5,XBB.2.4,B.6,XBB.1.18,XBB.2.3.2,XBB.1.5.23,XBB.1.18.1,XBB.3.1,others,sample_name,tool_name
1,,,,0.02,0.01,,,,,,,,0.48,,0.48,,,,,,,,0.0,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,0.02,,,,,,,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,0.03,,,,,,,,,0.49,,0.49,,,,,,,,0.0,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,,,0.97,,,,,,,,,,0.03,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,0.01,,,,,,,,,0.97,,,,0.01,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,0.02,,,,,,,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,,,,,,0.16,,0.81,,,,,,,,,,0.04,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,0.01,,,,,,,,0.02,0.19,,,,,,,0.75,,,0.02,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,0.02,,,,,,,0.89,0.07,0.01,,,,,,,,,,0.01,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,0.03,,,,,,,,,,,,,,0.15,,,0.79,0.03,0.0,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,0.02,,,,,,,0.97,,,,,,,,,,,,0.01,freyja_v1.4.3-153,freyja_v1.4.3
168,,,,,,,0.97,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-168,freyja_v1.4.3
183,,,,0.02,,0.02,,,,,,,,,,0.92,,,0.02,,,,0.01,freyja_v1.4.3-183,freyja_v1.4.3
198,,,,0.03,,0.46,,0.04,,,,0.06,,,,,,,,,0.42,,0.0,freyja_v1.4.3-198,freyja_v1.4.3
213,,,,0.02,,0.92,0.04,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-213,freyja_v1.4.3
229,,,,0.02,,0.97,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,0.03,,0.97,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,0.01,,0.94,,0.03,0.01,,,,,,,,,,,,,,0.01,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,0.02,,0.95,,,,0.02,,,,,,,,,,,,,0.0,freyja_v1.4.3-274,freyja_v1.4.3
289,,,0.01,,0.01,0.78,,0.08,,,,,,0.09,,,,,,,,,0.02,freyja_v1.4.3-289,freyja_v1.4.3
305,0.7,,,,,0.25,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-305,freyja_v1.4.3
320,0.96,0.01,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-320,freyja_v1.4.3
335,0.97,,,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-335,freyja_v1.4.3
350,,,0.97,0.02,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-350,freyja_v1.4.3
366,0.98,,,0.02,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-366,freyja_v1.4.3
