timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,0.03,,0.97,,,,,,,,,,,,,,,,,,0.01,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,,0.14,,,,,0.03,,,0.79,0.02,,,,,,,,,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,,,,,,,,,,0.96,,,,,,,,0.02,,0.02,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,0.01,,,,,,,,0.97,,,,,,,,,,0.02,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,0.02,,,,,,,,0.98,,,,,,,,,,0.0,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,,0.97,,,,,,,,,,,,,,,,,,0.03,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,,,,,,,,,0.98,,,,,,,,,,0.02,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,0.05,,,,,,,,,0.08,,0.03,,0.32,,,0.07,,,0.45,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,,,,,,,,,0.48,0.01,,,0.42,,,0.02,,0.04,0.03,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,,0.07,0.02,,,,,0.05,,,,0.83,,,,,,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,,,,,,,,,0.02,,0.98,,,,,,0.0,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,,,,,,,,0.03,,,,,0.97,,,,,,0.0,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,0.08,,0.08,0.08,0.08,0.08,,,0.08,0.08,0.07,0.08,,0.08,0.08,,0.06,0.02,,0.04,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,,,,,,,,,,,,,,0.94,,0.01,,0.03,,0.02,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.06,,,,,,,0.1,,,,,,,0.82,,,,,,0.02,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,0.02,,,,,,,,0.12,,,0.26,,0.6,,,,0.01,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.03,0.94,,,,,,,,,,,,,,,0.03,,,0.0,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,,,,,,,,,,,0.96,,,0.02,,,,,,0.02,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,,,,,,0.31,0.05,,,0.62,,,,,,,0.01,,0.01,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,,,,,,,,,,0.98,,,,,,,,,0.02,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,,,,,,0.03,,,,0.53,,0.01,,,0.39,,,,0.04,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,,0.97,,,,,,,,,,0.02,,,,,,,,0.02,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,,0.98,,,,,,,,,,,,,,,,,,0.02,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,,0.78,0.02,0.02,,,,,,0.16,,,,,,,,,,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.03,0.01,0.75,,,,,,,,0.17,,,,,,,0.01,,0.03,0.0,lcs_vcfc2f02-92,lcs_vcfc2f02
