timepoint,XCU,P.5,B.1.177.85,B.1.177.43,JF.1.1.1,JF.1.1.2,JF.1.1,JF.4,XBB.1.16.28,JF.1,XBB.1.16,XBB.1.16.4,XBB.1.16.1,XBB.1.16.22,XBB.1.16.11,XBB.1.16.18,XBB.1.16.3,XBB.1.16.17,XBB.1.16.23,XBB.1.16.21,XBB.1.16.20,XBB.1.16.19,FU.2,FU.1,XBB.1.16.31,XBB.1.16.6,XBB.1.16.24,XBB.1.16.5,XBB.1.16.9,GY.5,GY.2,GY.4,GY.6,FU.1.1,XBB.1.16.30,XBB.1.16.2,GY.7,GY.2.1,GY.9,GY.8,GY.3,XBB.1.16.26,BM.1.1.1,B.1.1.438,A.29,B.1.471,XBB.1.9.7,GD.2,XBB.1.9.3,XBB.1.9.5,XBB.1.9,BP.1,B.1.1.417,XW,BA.4.8,BA.2.19,BA.2.87,BA.2.16,P.1.8,XBB.1.9.1,FL.13,FL.26,FL.6,FL.27,FL.31,FL.35,FL.40,FL.10,FL.12,FL.2,FL.33,FL.39,FL.18,FL.25,FL.5,FU.3,XBB.1.16.32,XDB,FU.3.1,FU.4,XBB.1.16.27,XBB.1.16.10,FL.13.4,FL.39.1,FL.1.4,FL.1.6,FL.1.1.1,XDA,JF.3,XDM,XDA.1,XBB.1.16.12,FL.1.7,XBB.1.16.14,XBB.1.16.7,XBB.1.16.8,XBB.1.16.16,FL.35.1,FL.16,FL.22,FL.9,FL.2.7,FL.2.1,FL.2.3,FL.29,FL.33.1,FL.37,FL.30.1,FL.2.4,FL.2.7.1,FL.2.2,FL.1.2,FL.1.1,FL.19,FL.10.3,FL.10.1,FL.1,FL.30,HF.1.2,HF.1,FU.5,XBB.1.16.25,XBB.1.16.13,XK,XAL,XAQ,XM,XV,B.11,XAA,XL,XQ,XR,XU,XAG,XG,JM.1,JM.2,GY.1.1,GY.1,FU.1.1.1,XBB.1.16.15,B.1.634,BF.32,BA.5.1.33,KJ.1,B.1.417,B.1.635,B.1.475,P.2,HN.2.1,HN.7,HN.3.1,KC.1,HN.2,HN.3,FL.1.5.2,HN.5,KC.1.1,FL.1.5.1,FL.1.5,FL.2.2.1,FL.13.5,FL.3.3,FL.36,FL.13.1,FL.14,FL.3.1,FL.13.2,FL.3,FL.2.5,FL.34,B.1.177.88,B.1.177.70,B.1.177.71,B.1.620,FL.24.1,FL.10.2,FL.4.11,FL.13.2.1,FL.24,FL.23.2.1,FL.4.10,FL.2.6,FL.23.1,FL.3.2,FL.4.8,FL.23.2,GD.1,FL.4,FL.23,FL.8,KA.1,XBB.1.5.103,XBB.2.3.21,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.02,freyja_v2.0.0-1,freyja_v2.0.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v2.0.0-16,freyja_v2.0.0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v2.0.0-31,freyja_v2.0.0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-46,freyja_v2.0.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-61,freyja_v2.0.0
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,0.19,0.19,0.19,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-77,freyja_v2.0.0
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-92,freyja_v2.0.0
107,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-107,freyja_v2.0.0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v2.0.0-122,freyja_v2.0.0
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,freyja_v2.0.0-137,freyja_v2.0.0
