timepoint,P.1.16,B.6,B,P.1.12,B.1.617.2,B.1.1.7,Q.1,B.1.351,B.47,B.15,B.20,B.1.139,B.23,P.1,B.1.612,B.56,P.1.10,B.43,B.1.609,B.1.14,others,sample_name,tool_name
1,,,0.01,,,0.97,,,,0.01,,,,,,,,,,,0.01,freyja_v1.5.3-1,freyja_v1.5.3
16,,,,,,0.97,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-16,freyja_v1.5.3
31,,,0.01,,,0.97,,,,,,,0.01,,,0.01,,,,,0.0,freyja_v1.5.3-31,freyja_v1.5.3
46,,,,,,0.97,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-46,freyja_v1.5.3
61,,,0.02,,,0.49,0.49,,,,,,,,,,,,,,0.01,freyja_v1.5.3-61,freyja_v1.5.3
77,,,0.04,,,0.96,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-77,freyja_v1.5.3
92,,,,,,0.81,,0.16,,,,,,,,,,,,,0.03,freyja_v1.5.3-92,freyja_v1.5.3
107,,,,,,0.09,0.09,0.78,,,,,,,,,,,0.01,,0.02,freyja_v1.5.3-107,freyja_v1.5.3
122,,,0.01,,,,,0.95,,,,,,,0.01,,,,,0.01,0.01,freyja_v1.5.3-122,freyja_v1.5.3
137,,,,,,,,0.98,,,,,,,,,,,,,0.02,freyja_v1.5.3-137,freyja_v1.5.3
153,,,0.03,,,,,0.97,,,,,,,,,,,,,0.01,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,,,,,0.97,,,,,,,,,,,,,0.03,freyja_v1.5.3-168,freyja_v1.5.3
183,,,0.01,0.04,,,,0.93,0.01,,,,,,,,,,,,0.0,freyja_v1.5.3-183,freyja_v1.5.3
198,0.46,,,,,,,0.49,,,,,,0.02,,,,,,,0.02,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,,,,,0.05,,,,,,,,,0.93,,,,0.03,freyja_v1.5.3-213,freyja_v1.5.3
229,0.97,0.01,0.01,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-229,freyja_v1.5.3
244,0.96,0.01,0.01,,,,,,,,,,,0.02,,,,,,,0.0,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,,,,,,,,,,,,0.97,,,,0.03,freyja_v1.5.3-259,freyja_v1.5.3
274,0.97,0.01,0.01,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-274,freyja_v1.5.3
289,,,0.02,0.88,0.09,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-289,freyja_v1.5.3
305,,,,,0.71,,,,,,,,,,,,0.25,0.02,,,0.02,freyja_v1.5.3-305,freyja_v1.5.3
320,,,,,0.96,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-320,freyja_v1.5.3
335,,,,,0.97,,,,,,,0.03,,,,,,,,,0.0,freyja_v1.5.3-335,freyja_v1.5.3
350,,,0.01,,0.97,,,,,,0.01,,,,,,,,,,0.0,freyja_v1.5.3-350,freyja_v1.5.3
366,,,,,0.97,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-366,freyja_v1.5.3
