timepoint,AV.1,B.1.1.7,B.1.1,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,P.1,B.1.526,C.37,P.3,others,sample_name,tool_name
1,0.09,0.03,0.22,,,0.05,0.05,0.22,0.02,,0.28,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,0.13,,0.36,,,0.1,,0.08,0.02,,0.25,0.02,0.04,lcs_vcfc2f02-107,lcs_vcfc2f02
122,0.05,0.01,0.39,,,0.06,,0.08,0.08,,0.24,0.06,0.02,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.17,,0.05,0.03,,0.07,,0.19,0.02,,0.33,0.11,0.03,lcs_vcfc2f02-137,lcs_vcfc2f02
153,0.04,,0.62,,,,,0.1,0.01,,0.18,0.02,0.04,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.01,0.25,,,0.06,0.05,0.18,0.06,,0.33,,0.04,lcs_vcfc2f02-16,lcs_vcfc2f02
168,0.13,,0.26,0.02,,0.01,,0.17,0.01,,0.19,0.19,0.01,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,,0.31,0.11,,0.13,,0.12,0.02,,0.26,0.01,0.04,lcs_vcfc2f02-183,lcs_vcfc2f02
198,0.13,,0.4,,,,,0.01,0.02,,0.39,,0.04,lcs_vcfc2f02-198,lcs_vcfc2f02
213,0.22,,0.43,0.07,,,,0.06,0.02,,0.14,0.03,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,0.08,0.01,0.14,,,0.06,,0.15,0.06,0.16,0.29,0.01,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.27,,0.14,,,,,0.05,0.06,,0.41,0.04,0.04,lcs_vcfc2f02-244,lcs_vcfc2f02
259,0.16,,0.22,,0.02,,,0.14,0.02,0.24,0.15,,0.05,lcs_vcfc2f02-259,lcs_vcfc2f02
274,0.11,,0.58,,,,,0.06,0.01,,0.18,0.02,0.05,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.23,,0.34,0.03,,,,0.1,0.04,,0.22,0.01,0.03,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.05,0.07,0.36,,0.03,0.03,,0.14,0.04,0.05,0.2,,0.03,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.08,,0.43,,,0.17,,0.18,,,0.08,0.02,0.04,lcs_vcfc2f02-31,lcs_vcfc2f02
320,0.17,,0.54,0.08,,,,,0.01,,0.17,,0.03,lcs_vcfc2f02-320,lcs_vcfc2f02
335,0.03,,0.32,,,0.13,,0.02,0.02,,0.43,0.02,0.03,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.3,,0.36,,,,,0.09,0.01,,0.22,,0.03,lcs_vcfc2f02-350,lcs_vcfc2f02
366,0.01,0.02,0.25,,,0.08,0.03,0.29,0.04,,0.23,,0.05,lcs_vcfc2f02-366,lcs_vcfc2f02
46,0.38,0.02,0.04,,,0.05,0.03,0.09,0.03,,0.28,0.06,0.02,lcs_vcfc2f02-46,lcs_vcfc2f02
61,0.04,,0.44,,,,,0.15,,,0.33,,0.04,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.15,,0.52,,,0.01,,0.07,0.05,,0.15,0.02,0.03,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.06,,0.5,0.03,0.04,0.03,,0.15,0.06,,0.11,,0.04,lcs_vcfc2f02-92,lcs_vcfc2f02
